Respondent,CareerSatisfaction
266,Neither satisfied nor dissatisfied
267,Moderately satisfied
270,Slightly satisfied
271,Slightly satisfied
272,Extremely satisfied
274,Moderately satisfied
278,Moderately satisfied
279,Slightly dissatisfied
282,Slightly dissatisfied
284,Extremely satisfied
285,Extremely satisfied
286,Moderately satisfied
287,Slightly satisfied
289,Moderately satisfied
291,Neither satisfied nor dissatisfied
294,Moderately satisfied
295,Extremely dissatisfied
296,Extremely satisfied
297,Moderately satisfied
298,Moderately satisfied
299,Extremely satisfied
302,Moderately satisfied
303,Slightly satisfied
304,Slightly satisfied
305,Moderately satisfied
306,Moderately satisfied
307,Extremely satisfied
308,Moderately satisfied
313,Moderately satisfied
317,Extremely dissatisfied
318,Extremely satisfied
319,Slightly satisfied
320,Extremely dissatisfied
321,Slightly satisfied
323,Slightly satisfied
324,Moderately dissatisfied
327,Extremely satisfied
328,Moderately dissatisfied
332,Moderately satisfied
333,Slightly satisfied
334,Extremely satisfied
337,Moderately satisfied
338,Slightly dissatisfied
340,Slightly satisfied
342,Slightly satisfied
343,Moderately satisfied
344,Moderately satisfied
346,Moderately satisfied
348,Neither satisfied nor dissatisfied
350,Slightly satisfied
351,Slightly satisfied
352,Slightly satisfied
354,Moderately satisfied
355,Moderately satisfied
357,Slightly satisfied
360,Extremely satisfied
361,Moderately satisfied
362,Slightly dissatisfied
363,Moderately satisfied
364,Moderately satisfied
366,Moderately satisfied
367,Neither satisfied nor dissatisfied
371,Moderately satisfied
372,Moderately satisfied
373,Slightly satisfied
374,Moderately satisfied
377,Slightly satisfied
378,Slightly dissatisfied
379,Extremely dissatisfied
380,Moderately satisfied
382,Slightly dissatisfied
383,Extremely satisfied
384,Moderately satisfied
387,Extremely satisfied
388,Moderately satisfied
390,Extremely satisfied
391,Slightly satisfied
393,Extremely satisfied
395,Moderately satisfied
396,Moderately satisfied
397,Moderately satisfied
398,Moderately satisfied
399,Moderately satisfied
400,Moderately satisfied
402,Extremely satisfied
403,Slightly satisfied
404,Neither satisfied nor dissatisfied
405,Slightly satisfied
409,Moderately satisfied
410,Moderately satisfied
412,Moderately satisfied
413,Extremely dissatisfied
415,Neither satisfied nor dissatisfied
416,Moderately satisfied
418,Moderately satisfied
419,Extremely satisfied
422,Slightly satisfied
424,Neither satisfied nor dissatisfied
426,Extremely satisfied
427,Moderately satisfied
428,Neither satisfied nor dissatisfied
430,Moderately satisfied
432,Moderately satisfied
433,Slightly satisfied
434,Slightly dissatisfied
435,Extremely satisfied
436,Slightly dissatisfied
438,Extremely satisfied
439,Moderately satisfied
440,Slightly satisfied
443,Slightly satisfied
444,Moderately satisfied
445,Slightly satisfied
446,Moderately dissatisfied
447,Slightly dissatisfied
448,Slightly satisfied
449,Extremely dissatisfied
452,Moderately satisfied
453,Slightly satisfied
455,Slightly satisfied
458,Slightly satisfied
460,Neither satisfied nor dissatisfied
461,Slightly satisfied
462,Moderately satisfied
464,Extremely satisfied
465,Moderately satisfied
466,Slightly satisfied
467,Extremely satisfied
468,Slightly satisfied
469,Moderately satisfied
470,Moderately satisfied
471,Extremely satisfied
472,Moderately satisfied
475,Extremely satisfied
477,Extremely satisfied
481,Neither satisfied nor dissatisfied
483,Extremely satisfied
484,Slightly satisfied
486,Slightly satisfied
487,Moderately satisfied
488,Extremely dissatisfied
490,Slightly satisfied
491,Moderately dissatisfied
492,Moderately satisfied
495,Slightly satisfied
497,Moderately satisfied
501,Slightly satisfied
502,Moderately satisfied
506,Neither satisfied nor dissatisfied
507,Moderately satisfied
508,Extremely satisfied
509,Slightly satisfied
513,Moderately satisfied
514,Moderately satisfied
515,Slightly satisfied
516,Moderately satisfied
518,Moderately satisfied
519,Moderately satisfied
520,Moderately dissatisfied
521,Moderately dissatisfied
522,Extremely satisfied
523,Moderately satisfied
524,Slightly satisfied
525,Moderately satisfied
526,Neither satisfied nor dissatisfied
528,Slightly satisfied
531,Moderately satisfied
533,Extremely satisfied
534,Moderately satisfied
535,Moderately satisfied
536,Slightly satisfied
538,Moderately dissatisfied
541,Moderately satisfied
543,Extremely satisfied
545,Slightly satisfied
546,Extremely satisfied
548,Extremely satisfied
549,Moderately satisfied
550,Moderately satisfied
551,Moderately satisfied
554,Moderately satisfied
555,Moderately satisfied
557,Slightly satisfied
558,Moderately satisfied
560,Moderately satisfied
563,Moderately satisfied
565,Moderately satisfied
566,Extremely dissatisfied
567,Slightly satisfied
569,Moderately satisfied
570,Moderately satisfied
574,Extremely satisfied
575,Moderately satisfied
576,Extremely satisfied
579,Extremely satisfied
583,Slightly satisfied
584,Slightly satisfied
585,Slightly satisfied
586,Slightly satisfied
587,Moderately satisfied
589,Moderately satisfied
591,Moderately satisfied
592,Moderately satisfied
593,Moderately dissatisfied
594,Slightly satisfied
596,Slightly satisfied
597,Neither satisfied nor dissatisfied
599,Moderately satisfied
600,Moderately satisfied
601,Extremely satisfied
602,Moderately satisfied
606,Moderately satisfied
607,Moderately satisfied
608,Slightly dissatisfied
609,Slightly dissatisfied
611,Extremely satisfied
613,Moderately satisfied
614,Moderately satisfied
615,Moderately satisfied
616,Moderately dissatisfied
619,Slightly satisfied
620,Moderately satisfied
621,Extremely satisfied
622,Extremely satisfied
623,Extremely dissatisfied
624,Moderately satisfied
626,Moderately satisfied
628,Extremely dissatisfied
629,Moderately satisfied
630,Moderately satisfied
631,Moderately satisfied
632,Slightly satisfied
633,Moderately satisfied
634,Extremely satisfied
638,Moderately satisfied
639,Moderately satisfied
640,Moderately satisfied
642,Extremely dissatisfied
643,Moderately satisfied
645,Moderately satisfied
646,Extremely satisfied
651,Extremely satisfied
652,Slightly dissatisfied
654,Slightly satisfied
656,Slightly dissatisfied
657,Slightly dissatisfied
662,Moderately dissatisfied
663,Extremely satisfied
664,Moderately dissatisfied
665,Extremely satisfied
666,Moderately satisfied
667,Moderately satisfied
669,Moderately dissatisfied
671,Moderately satisfied
672,Extremely satisfied
674,Moderately satisfied
675,Moderately satisfied
676,Moderately satisfied
677,Slightly satisfied
678,Slightly satisfied
679,Moderately satisfied
681,Moderately satisfied
682,Moderately satisfied
685,Moderately satisfied
686,Moderately satisfied
689,Extremely satisfied
691,Moderately satisfied
692,Moderately satisfied
693,Moderately satisfied
694,Moderately satisfied
695,Moderately satisfied
697,Moderately dissatisfied
699,Slightly satisfied
700,Moderately dissatisfied
701,Moderately satisfied
704,Extremely dissatisfied
705,Neither satisfied nor dissatisfied
706,Neither satisfied nor dissatisfied
708,Extremely satisfied
709,Moderately satisfied
710,Moderately satisfied
712,Slightly dissatisfied
714,Moderately satisfied
715,Moderately dissatisfied
718,Moderately satisfied
719,Moderately satisfied
720,Moderately satisfied
721,Moderately dissatisfied
722,Moderately satisfied
723,Moderately satisfied
725,Extremely satisfied
726,Slightly dissatisfied
727,Extremely satisfied
728,Moderately satisfied
729,Extremely satisfied
730,Moderately dissatisfied
731,Neither satisfied nor dissatisfied
732,Neither satisfied nor dissatisfied
733,Extremely satisfied
734,Extremely satisfied
736,Moderately satisfied
738,Extremely satisfied
739,Neither satisfied nor dissatisfied
740,Moderately satisfied
742,Slightly satisfied
743,Slightly satisfied
744,Moderately satisfied
746,Slightly satisfied
749,Slightly satisfied
750,Moderately dissatisfied
751,Moderately satisfied
753,Moderately satisfied
754,Slightly satisfied
755,Moderately satisfied
756,Moderately satisfied
759,Slightly satisfied
760,Moderately satisfied
761,Slightly satisfied
762,Slightly satisfied
763,Slightly dissatisfied
764,Moderately satisfied
766,Extremely satisfied
768,Neither satisfied nor dissatisfied
769,Extremely satisfied
770,Moderately satisfied
771,Moderately dissatisfied
772,Moderately satisfied
773,Neither satisfied nor dissatisfied
775,Slightly satisfied
777,Moderately satisfied
778,Extremely satisfied
782,Neither satisfied nor dissatisfied
784,Slightly dissatisfied
785,Slightly dissatisfied
786,Extremely satisfied
788,Moderately satisfied
790,Slightly dissatisfied
791,Moderately satisfied
794,Extremely satisfied
795,Extremely satisfied
797,Slightly satisfied
798,Moderately dissatisfied
799,Moderately satisfied
800,Neither satisfied nor dissatisfied
801,Moderately dissatisfied
802,Extremely satisfied
804,Moderately satisfied
805,Moderately dissatisfied
807,Slightly satisfied
808,Extremely satisfied
809,Slightly satisfied
810,Neither satisfied nor dissatisfied
811,Slightly satisfied
812,Moderately satisfied
814,Moderately satisfied
816,Slightly dissatisfied
817,Slightly satisfied
818,Moderately satisfied
820,Moderately satisfied
822,Extremely satisfied
826,Extremely satisfied
828,Moderately satisfied
831,Moderately satisfied
832,Moderately satisfied
834,Moderately satisfied
835,Slightly satisfied
838,Moderately satisfied
840,Extremely dissatisfied
841,Moderately satisfied
842,Moderately satisfied
843,Extremely dissatisfied
845,Slightly dissatisfied
847,Moderately satisfied
848,Moderately satisfied
850,Slightly satisfied
851,Moderately satisfied
852,Moderately satisfied
854,Moderately satisfied
856,Slightly satisfied
857,Moderately satisfied
860,Neither satisfied nor dissatisfied
861,Slightly satisfied
862,Moderately satisfied
865,Moderately satisfied
868,Extremely dissatisfied
869,Extremely satisfied
872,Slightly dissatisfied
874,Extremely satisfied
876,Moderately satisfied
879,Extremely satisfied
881,Moderately satisfied
882,Slightly dissatisfied
883,Extremely satisfied
884,Moderately satisfied
885,Extremely satisfied
890,Moderately satisfied
892,Moderately satisfied
895,Moderately satisfied
896,Slightly dissatisfied
897,Moderately satisfied
898,Slightly satisfied
900,Slightly satisfied
902,Slightly satisfied
905,Slightly satisfied
906,Slightly satisfied
908,Moderately satisfied
909,Moderately satisfied
913,Slightly satisfied
922,Slightly satisfied
923,Extremely satisfied
924,Moderately satisfied
925,Slightly satisfied
927,Extremely dissatisfied
928,Neither satisfied nor dissatisfied
929,Neither satisfied nor dissatisfied
930,Extremely dissatisfied
931,Neither satisfied nor dissatisfied
932,Slightly dissatisfied
933,Moderately satisfied
935,Moderately satisfied
936,Slightly dissatisfied
937,Extremely satisfied
940,Slightly satisfied
941,Moderately satisfied
942,Extremely satisfied
944,Moderately satisfied
946,Extremely satisfied
947,Moderately dissatisfied
948,Extremely satisfied
949,Extremely satisfied
951,Extremely dissatisfied
952,Moderately satisfied
954,Moderately satisfied
957,Extremely satisfied
958,Moderately satisfied
961,Moderately satisfied
962,Moderately satisfied
963,Moderately satisfied
964,Moderately satisfied
967,Slightly dissatisfied
968,Slightly dissatisfied
969,Moderately dissatisfied
971,Slightly satisfied
972,Extremely satisfied
975,Moderately satisfied
983,Moderately satisfied
984,Slightly satisfied
986,Slightly dissatisfied
988,Moderately satisfied
991,Slightly satisfied
997,Extremely satisfied
999,Slightly satisfied
1000,Extremely satisfied
1006,Extremely satisfied
1007,Moderately satisfied
1008,Extremely satisfied
1009,Moderately satisfied
1010,Slightly dissatisfied
1011,Neither satisfied nor dissatisfied
1015,Neither satisfied nor dissatisfied
1016,Moderately satisfied
1018,Slightly satisfied
1020,Slightly dissatisfied
1021,Extremely satisfied
1023,Slightly satisfied
1024,Moderately satisfied
1025,Moderately satisfied
1027,Moderately dissatisfied
1030,Extremely satisfied
1033,Moderately satisfied
1034,Slightly satisfied
1036,Neither satisfied nor dissatisfied
1037,Moderately dissatisfied
1038,Moderately satisfied
1039,Moderately satisfied
1040,Extremely satisfied
1041,Extremely satisfied
1042,Moderately dissatisfied
1044,Slightly satisfied
1045,Moderately satisfied
1050,Extremely satisfied
1051,Extremely satisfied
1053,Slightly satisfied
1054,Slightly satisfied
1056,Slightly dissatisfied
1057,Slightly dissatisfied
1058,Slightly satisfied
1059,Moderately dissatisfied
1061,Moderately satisfied
1063,Slightly satisfied
1065,Moderately dissatisfied
1070,Extremely satisfied
1074,Moderately dissatisfied
1075,Moderately dissatisfied
1076,Slightly satisfied
1077,Moderately satisfied
1083,Extremely satisfied
1084,Extremely satisfied
1086,Moderately satisfied
1089,Extremely satisfied
1091,Moderately satisfied
1094,Slightly satisfied
1095,Slightly dissatisfied
1098,Moderately satisfied
1099,Extremely satisfied
1100,Moderately satisfied
1102,Extremely satisfied
1103,Moderately satisfied
1105,Moderately satisfied
1107,Slightly satisfied
1109,Extremely satisfied
1110,Extremely satisfied
1111,Moderately satisfied
1112,Neither satisfied nor dissatisfied
1113,Moderately satisfied
1117,Extremely dissatisfied
1118,Slightly satisfied
1119,Neither satisfied nor dissatisfied
1121,Extremely satisfied
1122,Slightly satisfied
1123,Moderately dissatisfied
1124,Extremely satisfied
1125,Extremely satisfied
1127,Extremely satisfied
1128,Moderately satisfied
1129,Moderately satisfied
1130,Moderately satisfied
1131,Neither satisfied nor dissatisfied
1132,Extremely satisfied
1133,Extremely satisfied
1135,Extremely satisfied
1137,Moderately satisfied
1138,Moderately satisfied
1141,Extremely satisfied
1142,Moderately satisfied
1143,Extremely dissatisfied
1144,Slightly dissatisfied
1145,Extremely satisfied
1146,Moderately satisfied
1148,Neither satisfied nor dissatisfied
1149,Neither satisfied nor dissatisfied
1150,Moderately satisfied
1151,Slightly satisfied
1152,Slightly dissatisfied
1153,Moderately satisfied
1155,Slightly satisfied
1156,Slightly dissatisfied
1157,Moderately satisfied
1159,Slightly satisfied
1160,Moderately satisfied
1162,Slightly satisfied
1163,Moderately satisfied
1164,Moderately satisfied
1166,Slightly satisfied
1178,Moderately satisfied
1179,Extremely satisfied
1180,Extremely satisfied
1181,Slightly dissatisfied
1185,Extremely dissatisfied
1187,Slightly satisfied
1188,Slightly satisfied
1189,Slightly dissatisfied
1190,Moderately satisfied
1192,Moderately satisfied
1194,Slightly satisfied
1195,Extremely satisfied
1197,Neither satisfied nor dissatisfied
1201,Extremely satisfied
1202,Moderately satisfied
1205,Neither satisfied nor dissatisfied
1206,Slightly satisfied
1207,Extremely dissatisfied
1208,Slightly satisfied
1209,Slightly dissatisfied
1210,Moderately satisfied
1211,Moderately satisfied
1212,Slightly satisfied
1213,Moderately satisfied
1215,Moderately satisfied
1216,Moderately satisfied
1217,Slightly satisfied
1219,Extremely satisfied
1221,Moderately satisfied
1222,Moderately satisfied
1223,Slightly satisfied
1224,Slightly dissatisfied
1225,Slightly satisfied
1227,Slightly satisfied
1229,Slightly satisfied
1230,Extremely satisfied
1231,Moderately satisfied
1232,Extremely satisfied
1233,Extremely satisfied
1236,Neither satisfied nor dissatisfied
1238,Moderately satisfied
1239,Moderately satisfied
1240,Extremely dissatisfied
1241,Moderately satisfied
1242,Slightly dissatisfied
1243,Moderately satisfied
1244,Neither satisfied nor dissatisfied
1246,Slightly satisfied
1247,Moderately satisfied
1248,Slightly satisfied
1250,Slightly dissatisfied
1253,Neither satisfied nor dissatisfied
1254,Moderately satisfied
1255,Extremely satisfied
1256,Moderately satisfied
1258,Extremely satisfied
1259,Neither satisfied nor dissatisfied
1260,Neither satisfied nor dissatisfied
1262,Moderately dissatisfied
1264,Extremely satisfied
1265,Moderately satisfied
1268,Moderately dissatisfied
1269,Slightly satisfied
1270,Moderately dissatisfied
1274,Moderately satisfied
1275,Neither satisfied nor dissatisfied
1276,Moderately satisfied
1278,Slightly dissatisfied
1279,Slightly dissatisfied
1280,Slightly satisfied
1282,Moderately satisfied
1283,Slightly dissatisfied
1284,Slightly dissatisfied
1285,Moderately dissatisfied
1288,Moderately dissatisfied
1289,Moderately satisfied
1290,Moderately satisfied
1292,Slightly dissatisfied
1294,Slightly satisfied
1295,Extremely satisfied
1296,Slightly satisfied
1297,Moderately dissatisfied
1298,Moderately satisfied
1299,Extremely dissatisfied
1303,Extremely satisfied
1306,Slightly satisfied
1307,Moderately satisfied
1309,Moderately dissatisfied
1310,Extremely satisfied
1311,Neither satisfied nor dissatisfied
1312,Moderately satisfied
1313,Moderately satisfied
1314,Slightly satisfied
1315,Slightly satisfied
1316,Slightly satisfied
1317,Moderately satisfied
1318,Moderately dissatisfied
1319,Extremely satisfied
1320,Slightly satisfied
1321,Moderately satisfied
1326,Slightly satisfied
1327,Slightly dissatisfied
1329,Slightly satisfied
1331,Moderately satisfied
1333,Slightly satisfied
1334,Neither satisfied nor dissatisfied
1335,Slightly satisfied
1336,Extremely dissatisfied
1337,Extremely satisfied
1338,Neither satisfied nor dissatisfied
1339,Moderately satisfied
1340,Moderately satisfied
1341,Extremely satisfied
1342,Extremely satisfied
1343,Slightly satisfied
1344,Extremely satisfied
1345,Moderately satisfied
1346,Slightly satisfied
1348,Slightly satisfied
1350,Neither satisfied nor dissatisfied
1351,Moderately satisfied
1352,Slightly satisfied
1354,Moderately satisfied
1356,Extremely satisfied
1357,Moderately satisfied
1361,Moderately satisfied
1362,Moderately dissatisfied
1365,Extremely satisfied
1368,Slightly satisfied
1370,Slightly dissatisfied
1371,Slightly satisfied
1374,Moderately satisfied
1376,Slightly satisfied
1377,Slightly satisfied
1380,Slightly dissatisfied
1381,Moderately dissatisfied
1382,Moderately satisfied
1383,Extremely satisfied
1384,Moderately satisfied
1387,Moderately satisfied
1388,Slightly satisfied
1390,Extremely satisfied
1391,Neither satisfied nor dissatisfied
1393,Neither satisfied nor dissatisfied
1395,Moderately satisfied
1398,Slightly satisfied
1400,Neither satisfied nor dissatisfied
1401,Moderately satisfied
1405,Extremely satisfied
1406,Extremely satisfied
1410,Moderately dissatisfied
1412,Moderately satisfied
1413,Slightly satisfied
1415,Moderately satisfied
1419,Slightly satisfied
1420,Slightly satisfied
1422,Moderately satisfied
1423,Slightly satisfied
1424,Moderately satisfied
1425,Moderately dissatisfied
1426,Extremely dissatisfied
1427,Slightly dissatisfied
1428,Moderately satisfied
1430,Moderately dissatisfied
1431,Extremely satisfied
1432,Moderately dissatisfied
1436,Moderately satisfied
1437,Moderately satisfied
1438,Slightly satisfied
1442,Neither satisfied nor dissatisfied
1443,Extremely satisfied
1446,Slightly dissatisfied
1447,Moderately dissatisfied
1449,Extremely satisfied
1450,Slightly satisfied
1453,Slightly satisfied
1454,Slightly satisfied
1455,Moderately satisfied
1458,Moderately satisfied
1459,Extremely satisfied
1460,Slightly dissatisfied
1461,Slightly satisfied
1462,Slightly satisfied
1464,Extremely satisfied
1465,Extremely satisfied
1466,Neither satisfied nor dissatisfied
1469,Extremely dissatisfied
1470,Slightly satisfied
1472,Extremely satisfied
1473,Slightly satisfied
1478,Moderately satisfied
1479,Extremely satisfied
1480,Neither satisfied nor dissatisfied
1481,Moderately dissatisfied
1482,Extremely satisfied
1483,Slightly dissatisfied
1484,Moderately satisfied
1486,Neither satisfied nor dissatisfied
1489,Slightly satisfied
1491,Extremely satisfied
1492,Slightly satisfied
1493,Moderately satisfied
1495,Moderately satisfied
1497,Extremely satisfied
1498,Moderately satisfied
1499,Neither satisfied nor dissatisfied
1500,Moderately satisfied
1501,Extremely satisfied
1503,Extremely satisfied
1504,Moderately dissatisfied
1505,Slightly dissatisfied
1506,Extremely satisfied
1507,Extremely satisfied
1508,Slightly satisfied
1509,Extremely satisfied
1510,Moderately dissatisfied
1513,Moderately satisfied
1516,Moderately satisfied
1517,Moderately satisfied
1518,Extremely satisfied
1519,Slightly satisfied
1522,Moderately satisfied
1523,Moderately satisfied
1524,Moderately dissatisfied
1526,Extremely satisfied
1527,Moderately satisfied
1530,Slightly satisfied
1531,Slightly dissatisfied
1532,Slightly satisfied
1537,Slightly satisfied
1538,Slightly satisfied
1540,Moderately satisfied
1541,Moderately satisfied
1543,Extremely satisfied
1544,Slightly satisfied
1547,Moderately satisfied
1549,Extremely satisfied
1550,Extremely satisfied
1551,Extremely dissatisfied
1552,Moderately dissatisfied
1553,Moderately satisfied
1554,Extremely satisfied
1555,Extremely satisfied
1556,Moderately satisfied
1557,Extremely satisfied
1560,Moderately satisfied
1562,Slightly dissatisfied
1563,Slightly satisfied
1566,Slightly dissatisfied
1567,Extremely satisfied
1569,Moderately dissatisfied
1571,Moderately satisfied
1578,Slightly satisfied
1579,Extremely satisfied
1581,Slightly satisfied
1582,Slightly dissatisfied
1583,Moderately satisfied
1585,Moderately satisfied
1586,Moderately satisfied
1587,Slightly dissatisfied
1588,Slightly dissatisfied
1589,Slightly satisfied
1590,Moderately satisfied
1592,Slightly satisfied
1593,Slightly dissatisfied
1594,Moderately satisfied
1596,Moderately satisfied
1602,Extremely satisfied
1603,Extremely dissatisfied
1606,Extremely satisfied
1607,Moderately satisfied
1608,Moderately satisfied
1609,Moderately dissatisfied
1611,Moderately satisfied
1612,Slightly satisfied
1616,Moderately satisfied
1618,Moderately dissatisfied
1619,Moderately satisfied
1620,Moderately satisfied
1621,Extremely satisfied
1627,Moderately satisfied
1628,Slightly satisfied
1631,Neither satisfied nor dissatisfied
1632,Extremely satisfied
1633,Moderately satisfied
1636,Moderately satisfied
1637,Moderately satisfied
1638,Extremely dissatisfied
1640,Extremely satisfied
1641,Moderately satisfied
1642,Slightly satisfied
1643,Moderately satisfied
1645,Moderately satisfied
1646,Moderately dissatisfied
1648,Moderately satisfied
1649,Moderately satisfied
1650,Moderately dissatisfied
1652,Slightly satisfied
1653,Neither satisfied nor dissatisfied
1654,Extremely satisfied
1655,Extremely satisfied
1660,Neither satisfied nor dissatisfied
1663,Moderately satisfied
1664,Slightly satisfied
1665,Extremely dissatisfied
1666,Moderately satisfied
1667,Slightly satisfied
1668,Extremely satisfied
1671,Moderately satisfied
1672,Slightly dissatisfied
1673,Slightly satisfied
1674,Neither satisfied nor dissatisfied
1676,Extremely satisfied
1677,Slightly satisfied
1680,Moderately satisfied
1681,Moderately satisfied
1682,Moderately satisfied
1684,Extremely satisfied
1685,Extremely dissatisfied
1686,Extremely satisfied
1687,Slightly dissatisfied
1688,Moderately satisfied
1692,Moderately satisfied
1694,Moderately satisfied
1696,Neither satisfied nor dissatisfied
1697,Moderately satisfied
1699,Slightly satisfied
1701,Moderately dissatisfied
1702,Moderately satisfied
1703,Slightly satisfied
1705,Moderately satisfied
1706,Moderately satisfied
1707,Extremely satisfied
1710,Extremely satisfied
1711,Neither satisfied nor dissatisfied
1713,Moderately satisfied
1714,Moderately satisfied
1716,Slightly satisfied
1717,Moderately satisfied
1719,Slightly dissatisfied
1720,Moderately satisfied
1722,Slightly dissatisfied
1724,Moderately satisfied
1726,Moderately satisfied
1728,Extremely satisfied
1729,Slightly dissatisfied
1730,Slightly satisfied
1733,Slightly satisfied
1735,Slightly satisfied
1736,Extremely satisfied
1738,Moderately satisfied
1740,Moderately satisfied
1741,Slightly satisfied
1742,Moderately satisfied
1743,Moderately satisfied
1744,Moderately satisfied
1745,Moderately satisfied
1747,Extremely satisfied
1748,Moderately satisfied
1749,Moderately satisfied
1750,Moderately satisfied
1753,Neither satisfied nor dissatisfied
1757,Slightly satisfied
1758,Extremely satisfied
1759,Extremely satisfied
1764,Moderately dissatisfied
1765,Slightly satisfied
1766,Slightly satisfied
1767,Extremely satisfied
1768,Slightly satisfied
1770,Moderately satisfied
1771,Moderately satisfied
1773,Neither satisfied nor dissatisfied
1774,Neither satisfied nor dissatisfied
1777,Slightly dissatisfied
1778,Neither satisfied nor dissatisfied
1779,Moderately satisfied
1780,Moderately satisfied
1781,Moderately dissatisfied
1782,Extremely satisfied
1783,Slightly satisfied
1784,Slightly satisfied
1786,Moderately satisfied
1788,Slightly satisfied
1789,Moderately satisfied
1790,Moderately satisfied
1791,Slightly satisfied
1795,Extremely satisfied
1796,Moderately satisfied
1797,Moderately dissatisfied
1800,Moderately satisfied
1801,Slightly dissatisfied
1802,Moderately satisfied
1803,Moderately dissatisfied
1804,Moderately satisfied
1807,Extremely dissatisfied
1808,Slightly satisfied
1813,Moderately satisfied
1814,Extremely satisfied
1819,Extremely satisfied
1823,Extremely satisfied
1825,Slightly satisfied
1826,Moderately satisfied
1827,Slightly dissatisfied
1828,Extremely satisfied
1831,Neither satisfied nor dissatisfied
1833,Moderately satisfied
1834,Extremely dissatisfied
1835,Moderately dissatisfied
1836,Slightly satisfied
1837,Moderately satisfied
1842,Slightly satisfied
1843,Moderately satisfied
1844,Extremely satisfied
1845,Extremely dissatisfied
1846,Moderately satisfied
1848,Moderately satisfied
1849,Slightly satisfied
1853,Slightly dissatisfied
1854,Extremely satisfied
1855,Extremely satisfied
1856,Moderately satisfied
1857,Moderately satisfied
1858,Moderately satisfied
1862,Slightly satisfied
1863,Moderately satisfied
1864,Moderately satisfied
1865,Moderately satisfied
1866,Slightly satisfied
1867,Neither satisfied nor dissatisfied
1868,Moderately satisfied
1869,Extremely satisfied
1870,Neither satisfied nor dissatisfied
1871,Slightly dissatisfied
1872,Moderately satisfied
